,obsday,time_recorded,elrange,azrange
0,20210514,2021-05-14 09:00:00Z,"[0.0, 90.0]","[-180.0, 180.0]"
1,20210515,2021-05-15 20:15:34Z,"[0.0, 90.0]","[-180.0, 180.0]"
3,20210515,2021-05-16 03:36:03Z,"[0.0, 90.0]","[-90.0, 90.0]"
2,20210515,2021-05-16 04:28:50Z,"[0.0, 90.0]","[-180.0, 180.0]"
4,20210516,2021-05-16 20:17:16Z,"[0.0, 90.0]","[-180.0, 180.0]"
6,20210516,2021-05-17 03:08:25Z,"[0.0, 90.0]","[-90.0, 90.0]"
5,20210516,2021-05-17 04:27:18Z,"[0.0, 90.0]","[-180.0, 180.0]"
7,20210519,2021-05-19 20:18:56Z,"[0.0, 90.0]","[-180.0, 180.0]"
8,20210519,2021-05-20 04:25:51Z,"[0.0, 90.0]","[-180.0, 180.0]"
9,20210519,2021-05-20 05:27:49Z,"[0.0, 90.0]","[-45.0, 135.0]"
10,20210519,2021-05-20 05:52:41Z,"[0.0, 90.0]","[-45.0, 90.0]"
11,20210519,2021-05-20 05:54:32Z,"[0.0, 90.0]","[-45.0, 45.0]"
12,20210519,2021-05-20 05:55:42Z,"[0.0, 90.0]","[-90.0, 90.0]"
13,20210519,2021-05-20 05:56:27Z,"[0.0, 90.0]","[-45.0, 90.0]"
14,20210521,2021-05-21 20:20:35Z,"[0.0, 90.0]","[-180.0, 180.0]"
15,20210521,2021-05-22 04:24:31Z,"[0.0, 90.0]","[-180.0, 180.0]"
16,20210521,2021-05-22 08:16:56Z,"[0.0, 90.0]","[-90.0, 90.0]"
17,20210521,2021-05-22 11:11:44Z,"[0.0, 90.0]","[-180.0, 180.0]"
18,20210606,2021-06-06 20:32:02Z,"[0.0, 90.0]","[-180.0, 180.0]"
20,20210606,2021-06-07 03:58:22Z,"[0.0, 90.0]","[-67.5, 202.5]"
21,20210606,2021-06-07 04:09:21Z,"[0.0, 90.0]","[-180.0, 180.0]"
22,20210606,2021-06-07 04:11:00Z,"[0.0, 90.0]","[-135.0, 135.0]"
19,20210606,2021-06-07 04:17:49Z,"[0.0, 90.0]","[-180.0, 180.0]"
23,20210607,2021-06-07 20:33:10Z,"[0.0, 90.0]","[-180.0, 180.0]"
24,20210607,2021-06-08 04:17:30Z,"[0.0, 90.0]","[-180.0, 180.0]"
25,20210607,2021-06-08 04:26:18Z,"[0.0, 90.0]","[-135.0, 135.0]"
26,20210609,2021-06-09 20:33:42Z,"[0.0, 90.0]","[-180.0, 180.0]"
28,20210609,2021-06-10 03:45:41Z,"[0.0, 90.0]","[-90.0, 180.0]"
27,20210609,2021-06-10 04:17:24Z,"[0.0, 90.0]","[-180.0, 180.0]"
29,20210613,2021-06-13 20:36:03Z,"[0.0, 90.0]","[-180.0, 180.0]"
30,20210613,2021-06-14 04:17:19Z,"[0.0, 90.0]","[-180.0, 180.0]"
31,20210613,2021-06-14 06:37:09Z,"[0.0, 90.0]","[90.0, 180.0]"
32,20210613,2021-06-14 07:23:17Z,"[0.0, 90.0]","[-180.0, 180.0]"
33,20210618,2021-06-18 20:37:28Z,"[0.0, 90.0]","[-180.0, 180.0]"
34,20210618,2021-06-19 04:17:46Z,"[0.0, 90.0]","[-180.0, 180.0]"
35,20210618,2021-06-19 08:05:50Z,"[0.0, 90.0]","[-45.0, 225.0]"
36,20210627,2021-06-27 20:39:01Z,"[0.0, 90.0]","[-180.0, 180.0]"
37,20210627,2021-06-28 04:20:23Z,"[0.0, 90.0]","[-180.0, 180.0]"
38,20210627,2021-06-28 04:54:10Z,"[0.0, 90.0]","[0.0, 180.0]"
39,20210627,2021-06-28 04:55:21Z,"[0.0, 90.0]","[180.0, 360.0]"
40,20210627,2021-06-28 07:04:57Z,"[0.0, 90.0]","[-180.0, 180.0]"
41,20210707,2021-07-07 20:37:53Z,"[0.0, 90.0]","[-180.0, 180.0]"
42,20210707,2021-07-08 04:25:32Z,"[0.0, 90.0]","[-180.0, 180.0]"
43,20210707,2021-07-08 09:05:53Z,"[0.0, 90.0]","[-45.0, 135.0]"
44,20210710,2021-07-10 20:36:57Z,"[0.0, 90.0]","[-180.0, 180.0]"
45,20210710,2021-07-11 04:27:27Z,"[0.0, 90.0]","[-180.0, 180.0]"
46,20210710,2021-07-11 10:26:42Z,"[0.0, 90.0]","[-45.0, 45.0]"
47,20210710,2021-07-11 10:27:33Z,"[0.0, 90.0]","[-90.0, 90.0]"
48,20210710,2021-07-11 11:03:01Z,"[0.0, 90.0]","[-180.0, 180.0]"
49,20210927,2021-09-27 19:09:54Z,"[0.0, 90.0]","[-180.0, 180.0]"
50,20210927,2021-09-28 05:25:52Z,"[0.0, 90.0]","[-180.0, 180.0]"
51,20210927,2021-09-28 11:15:40Z,"[0.0, 90.0]","[30.0, -180.0]"
52,20211022,2021-10-22 18:40:12Z,"[0.0, 90.0]","[-180.0, 180.0]"
54,20211022,2021-10-23 04:43:18Z,"[0.0, 90.0]","[250.0, 280.0]"
